사용월,호선명,역ID,지하철역,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
2020-07,1호선,1,서울역,768,9171,12289,34963,62610,43919,41204,49762,59086,62152,53124,69909,77570,135361,208488,101028,67293,66667,48053,17488,22,0,1,0
2020-07,1호선,10,동묘앞,113,3425,3243,6159,8654,7275,9066,13060,18011,23836,26216,28512,29113,27395,24474,12594,6798,5521,3387,1410,8,0,0,0
2020-07,1호선,2,시청,32,1730,3149,6256,7931,8668,10157,14688,15444,19784,24556,31437,37457,70734,138807,51569,39614,40006,27665,9424,2,0,0,0
2020-07,1호선,3,종각,69,3493,3555,5573,8989,11444,15709,24791,30584,40764,45777,58087,67469,139604,219949,92916,79810,91449,73950,28554,36,1,0,0
2020-07,1호선,4,종로3가,174,4697,3816,5776,8713,11936,22595,33462,43159,52345,52997,59147,65767,75862,107024,64577,48552,55768,46441,16475,34,4,0,0
2020-07,1호선,5,종로5가,57,2026,2758,5045,7956,11200,18440,27242,33172,39677,46372,50790,56143,75831,109008,51341,32522,27363,21620,7606,18,1,0,0
2020-07,1호선,6,동대문,562,14394,9547,14555,19761,18114,16516,17809,20669,21707,22759,22911,24767,25453,24896,16744,13608,12656,10850,4544,26,0,0,0
2020-07,1호선,7,신설동,233,9543,9091,18512,25590,17305,15261,18983,18874,21077,20718,22561,27394,39962,61818,23916,15296,14337,10229,3611,12,0,0,0
2020-07,1호선,8,제기동,367,4843,8533,22309,31057,22467,25793,33309,35553,37089,38862,40428,38178,38531,37998,18531,11384,9463,7437,2659,8,0,0,0
2020-07,1호선,9,청량리(서울시립대입구),1508,11801,15651,42638,50766,33467,31208,36942,38019,39398,40628,42943,46350,45986,43329,25376,19183,13656,9559,3807,46,1,0,0
2020-07,2호선,11,시청,15,1040,1941,4924,6910,8705,11973,17407,17492,22452,26167,30462,35994,82783,174698,58249,37684,35651,24322,7699,17,0,0,0
2020-07,2호선,12,을지로입구,117,2308,3196,7843,12629,14209,16645,24782,29970,40751,46714,57688,69586,149618,257703,106857,95951,67293,46392,14451,32,0,0,0
2020-07,-,13,을지로3가,9,992,2341,5167,9030,8962,10860,14816,15335,19676,23421,28858,36333,77302,134769,53849,37319,40112,37090,17721,32,0,0,0
2020-07,2호선,14,을지로4가,9,975,1401,2769,4908,6473,8161,11668,14709,16461,19207,22092,26411,52716,72768,33373,17077,13737,10427,4184,9,0,0,0
2020-07,2호선,15,동대문역사문화공원(DDP),292,8226,4645,6476,9370,8952,10221,12988,14825,17289,20435,23568,31669,40123,45291,26847,20226,21362,14989,6393,6,0,0,0
2020-07,2호선,16,신당,25,6024,12640,28478,44640,26596,17461,17046,18831,19959,20034,20259,23341,27632,36262,22229,16090,13632,10611,4621,1,0,0,0
2020-07,2호선,17,상왕십리,55,5986,13745,40938,61763,32259,19381,17885,18455,18418,16495,18060,18531,23667,29265,18135,12055,10939,8157,2844,2,0,0,0
2020-07,2호선,18,왕십리(성동구청),790,7265,10563,28031,47379,28165,18200,18915,20577,21567,21194,23065,29707,34498,39686,24650,22443,25933,27743,14840,101,0,0,0
2020-07,2호선,19,한양대,4,1120,2986,5650,9031,6075,4996,6844,8363,9013,9121,11242,18776,29712,25175,12561,9853,9201,7731,3344,6,2,0,0
2020-07,2호선,20,뚝섬,40,3958,8863,21172,29730,17568,13443,13257,16418,19745,22447,26488,33304,52856,116289,57050,34530,31414,24127,7915,3,1,0,0
2020-07,2호선,21,성수,39,5710,10656,25617,32712,24227,19920,20895,23234,29267,32331,37655,48572,97616,213617,88193,51565,51279,40485,12336,15,0,0,0
2020-07,2호선,22,건대입구,321,18805,23305,57704,94898,61437,34149,32652,37602,40947,42339,48081,56654,69217,85151,61092,64011,72729,81360,41762,37,0,0,0
2020-07,2호선,23,구의(광진구청),30,13881,27028,71646,117037,65792,33172,27386,28359,29008,26021,26177,29868,35326,44758,23920,18987,17815,16415,7150,16,0,0,0
2020-07,2호선,24,강변(동서울터미널),27,9288,29392,85174,117260,81094,57227,51748,51271,51338,46904,48638,52115,58444,67984,52327,39869,33256,24261,8252,13,0,0,0
2020-07,2호선,25,잠실나루,4,2995,12459,41679,47652,28798,21070,20955,20347,18830,20744,22444,27130,33665,32547,16457,11497,9191,6886,2489,3,0,0,0
2020-07,2호선,26,잠실(송파구청),71,12105,50123,118657,167291,117825,72320,73658,79686,86760,87682,97030,114992,160371,210671,132343,122288,98796,84859,26198,30,0,0,0
2020-07,2호선,27,잠실새내,18,5064,17453,58795,73089,42654,25793,24921,26688,27585,25908,28485,32610,34943,39642,29524,25823,26552,26992,13140,19,1,0,0
2020-07,2호선,28,종합운동장,3,1741,6242,18314,23948,17282,10424,8835,9128,9881,9678,10338,13500,15030,17500,10196,7497,8946,6407,1702,5,0,0,0
2020-07,2호선,29,삼성(무역센터),163,5329,7705,17026,22091,20506,21477,31717,39770,50115,63038,79669,101173,189947,319820,178892,116828,100254,71892,16383,13,0,0,0
2020-07,2호선,30,선릉,106,5528,11324,22121,31918,30330,32737,43267,51095,60979,70248,87823,123901,184957,312227,154123,93274,90997,78303,24602,15,0,0,0
2020-07,2호선,31,역삼,45,4164,9093,14938,25757,23577,22556,30936,37423,46282,54750,72592,91456,192896,297834,145813,82005,83675,63194,22192,17,0,0,0
2020-07,2호선,32,강남,148,11587,20828,40211,64543,51776,49362,69728,90487,115778,120624,149432,171492,258243,391365,237985,182879,219395,231414,81675,66,0,0,0
2020-07,2호선,33,교대(법원.검찰청),19,2543,12986,26772,37328,28058,25800,32221,36315,43943,51410,59153,64289,98909,158523,74128,54154,60601,59391,19202,24,0,0,0
2020-07,2호선,34,서초,28,1405,7799,14499,24368,24272,18372,22221,21013,26324,29364,35793,41038,71780,111097,46601,28565,31464,22534,6312,6,0,0,0
2020-07,2호선,35,방배,7,2975,9866,24529,33684,26353,18069,17583,20342,21742,21862,24211,29897,42233,72308,29825,20748,21191,18061,6084,4,0,0,0
2020-07,2호선,36,사당,202,13961,26963,79438,104037,72701,43773,39115,45126,47727,47896,49913,54798,71393,97475,64663,56005,64276,66775,33157,44,0,0,0
2020-07,2호선,37,낙성대(강감찬),40,12686,27830,86797,132083,83207,40667,33233,35883,35598,33131,35022,36343,44026,52240,30374,22398,21181,18103,7538,14,0,0,0
2020-07,2호선,38,서울대입구(관악구청),4031,29989,46379,134130,196629,124540,66071,57409,61161,65014,60225,63961,70701,82047,97780,58211,48183,50453,48670,20295,5,0,0,0
2020-07,2호선,39,봉천,56,16104,29703,86363,127192,72869,37286,30168,31071,31772,27564,27182,29305,30409,35278,21140,16473,15121,12753,4045,5,1,0,0
2020-07,2호선,40,신림,279,41755,80170,217412,321143,186232,94811,76815,80271,76816,70059,68184,77754,84099,92989,60939,51610,49816,46092,20389,21,0,0,0
2020-07,2호선,41,신대방,121,26638,36921,92790,134753,79477,42653,32773,32381,30727,26942,26758,30257,35257,43651,24807,18554,14163,11107,4682,5,0,0,0
2020-07,2호선,42,구로디지털단지,319,40656,54426,145454,189057,116920,64602,55931,59901,62586,57050,59826,75064,131943,245542,121815,67662,57533,46943,18091,7,0,0,0
2020-07,2호선,43,대림(구로구청),732,35178,30120,69069,97690,63810,34946,29536,31546,31414,28706,30324,33651,44241,59862,30508,21256,17089,13054,5778,11,0,0,0
2020-07,2호선,44,신도림,3592,37223,52032,140884,141359,87410,56343,54649,62110,64937,64179,67233,76609,101139,137191,79400,66188,69151,52933,22830,61,0,0,0
2020-07,2호선,45,문래,4,3686,13456,45233,46770,25708,18703,17797,19995,21101,21606,23129,28804,51958,109450,39490,25850,25725,21943,8961,7,0,0,0
2020-07,2호선,46,영등포구청,39,5878,14033,43863,48024,29397,21645,22616,23742,25360,26107,28944,33546,52525,113974,38536,27048,26286,20101,7710,5,0,0,0
2020-07,2호선,47,당산,64,7189,17749,49819,58770,33617,21842,20997,21560,22295,21005,21860,26497,40827,67238,30662,22693,23606,21187,9115,16,0,0,0
2020-07,2호선,48,합정,82,8704,18790,45584,57105,36458,25335,26388,29870,34576,35539,38968,47116,70371,116805,71373,54909,66322,68015,29686,20,2,0,0
2020-07,2호선,49,홍대입구,534,19523,25713,62509,76437,48646,35902,41876,49550,60380,62712,75129,97054,124156,161305,121127,117844,145640,158117,67167,397,1,1,0
2020-07,2호선,50,신촌,80,7340,13651,35363,47911,33153,31772,38493,46825,49647,51234,60313,72453,91188,96188,64814,66247,73341,79484,31206,21,1,0,0
2020-07,2호선,51,이대,32,2665,6830,20164,25661,15490,11733,12696,18678,19193,16942,19141,27573,37624,33687,19437,16526,15775,13094,3870,2,0,0,0
2020-07,2호선,52,아현,14,4700,10734,27533,34372,21491,14615,13574,13862,13781,14277,17705,18175,19185,20069,11931,8142,6298,4558,1703,3,0,0,0
2020-07,2호선,53,충정로(경기대입구),20,3202,6522,16252,21549,13984,10668,11139,11461,12343,12056,13310,15980,26440,51155,16928,10473,9852,7690,2867,3,0,0,0
2020-07,2호선,54,용답,42,2383,3423,7952,12985,6218,3766,3372,3721,3842,3412,3431,4051,4166,3975,2308,1595,1294,1016,413,0,1,0,0
2020-07,2호선,55,신답,2,1089,1926,6644,9905,3980,2073,1879,1791,1700,1623,1546,1629,2010,2310,1069,712,602,529,124,0,0,0,0
2020-07,2호선,56,신설동,23,1125,1378,3121,5926,4073,3781,4609,5437,6497,7052,7565,8354,11467,12545,4926,2904,2512,1726,538,2,0,0,0
2020-07,2호선,57,도림천,0,367,1020,3133,3155,1984,1864,1484,2553,1759,2135,2930,2643,3151,3649,1996,961,808,289,186,3,0,1,0
2020-07,2호선,58,양천구청,23,4859,11962,33579,29069,15816,9937,9103,9480,9051,7994,7213,7978,8724,9363,4290,2929,2687,2255,820,4,0,0,0
2020-07,2호선,59,신정네거리,74,7976,14814,47116,41858,22116,14637,12471,13364,11890,10738,10688,13232,14139,12013,7233,5425,4279,3592,1453,14,0,0,0
2020-07,2호선,60,용두(동대문구청),22,1116,1513,5120,7905,3768,3215,3410,3419,3399,3470,3758,4025,4504,6205,2498,1625,1359,970,263,0,0,0,0
2020-07,3호선,61,지축,2,1397,6219,18135,16556,7677,5077,4782,4223,3899,3455,4052,4389,4979,3984,2001,1446,1007,683,237,1,1,0,0
2020-07,3호선,62,구파발,116,10002,33246,90634,86625,41531,27597,26139,26981,26487,26423,29486,34405,36746,33748,20386,15902,15019,12432,2829,9,0,0,0
2020-07,3호선,63,연신내,248,27545,53109,144420,164108,88258,57509,52239,55006,53231,49919,51384,55407,55086,51612,37171,30678,27542,24582,9007,3,0,0,0
2020-07,3호선,64,불광,27,9278,19696,53574,61971,33409,22738,21221,22183,23627,22913,23326,25214,28888,33010,18512,13843,12508,9137,2832,1,0,0,0
2020-07,3호선,65,녹번,26,8872,24102,66393,72761,38738,22406,18305,18750,17193,15314,15285,17537,19189,20321,9847,6901,5570,4456,1374,1,0,0,0
2020-07,3호선,66,홍제,62,9470,22684,63583,72563,42065,28567,26026,26304,24336,22528,22892,25046,28101,28070,14937,11594,9585,6870,2279,1,0,0,0
2020-07,3호선,67,무악재,26,1959,5206,15384,17477,9983,6314,5625,5243,4895,4315,4150,4751,6062,6821,3273,2371,1850,1426,537,0,0,0,0
2020-07,3호선,68,독립문,102,5274,6392,17012,19727,13925,11566,10567,11797,11076,11156,12674,15068,13927,16838,7999,5727,4326,3283,922,2,0,0,0
2020-07,3호선,69,경복궁(정부서울청사),50,2646,5822,13614,19793,18373,14047,15746,17522,21615,24880,30890,39134,57457,98877,40336,30657,32594,24608,7613,7,0,0,0
2020-07,3호선,70,안국,14,1928,3273,6007,8471,7756,9416,11827,17341,20304,23588,32016,45374,103210,112506,43377,34765,32305,20265,5333,0,0,0,0
2020-07,3호선,71,종로3가,11,789,1125,1821,2266,3451,5375,8517,9753,11078,13824,17917,20129,30493,55248,33859,17088,19384,15552,5386,12,0,0,0
2020-07,3호선,72,을지로3가,14,598,980,1828,2793,3724,4796,6693,7559,10131,12253,13862,17905,39367,70693,29121,18343,18792,16472,7387,8,0,0,0
2020-07,3호선,73,충무로,0,0,0,2,0,2,0,0,1,1,0,3,2,2,4,5,1,2,1,3,0,0,0,0
2020-07,3호선,74,동대입구,20,1455,2278,5313,7179,5845,5023,6180,6712,8284,11421,11458,15874,33898,32892,15736,10256,10657,9884,2857,3,0,0,0
2020-07,3호선,75,약수,138,6310,10863,27023,40106,26848,18103,16781,18387,19207,18821,19873,20947,25446,34659,18673,14843,14159,11360,4169,8,0,0,0
2020-07,3호선,76,금호,38,4745,10394,28011,37250,23113,14406,11934,11860,11616,10110,10226,10837,11459,12280,7997,6166,4900,3906,1489,0,0,0,0
2020-07,3호선,77,옥수,265,3464,9562,24451,32652,20734,14356,12989,12957,14199,12878,13156,15664,17541,18763,12041,9570,8548,6869,2661,80,0,0,0
2020-07,3호선,78,압구정,63,3111,8467,16504,24743,18415,21278,27287,32267,38107,44540,54999,65108,84264,144977,103711,76278,58260,43832,11751,15,0,0,0
2020-07,3호선,79,신사,84,3581,6536,11431,18078,14434,15823,21252,25153,29818,37220,45062,56478,87097,142364,100103,66641,73806,66587,22802,6,0,0,0
2020-07,3호선,80,잠원,3,1656,6107,15769,20715,12888,8143,7995,8539,8116,7688,8249,9845,12115,11704,7378,5207,5144,3956,1219,0,0,0,0
2020-07,3호선,81,고속터미널,67,4942,7036,25163,40623,41971,41937,53029,63557,72993,79397,90102,102473,125393,132781,108396,119860,80708,58539,18445,5,0,0,0
2020-07,3호선,82,교대(법원.검찰청),17,1340,3131,8134,11475,9245,10418,13414,15289,17879,20693,23712,26645,42720,72195,29639,23211,26338,28102,7386,4,0,0,0
2020-07,3호선,83,남부터미널(예술의전당),51,2776,8633,27204,41075,31987,30196,33809,34582,39414,40133,46396,53820,93879,149368,69018,46139,42426,31148,9107,3,0,0,0
2020-07,3호선,84,양재(서초구청),82,5358,14398,34950,44349,30537,27615,30747,34483,39885,44231,52220,63067,120189,217875,97638,63251,60435,43942,12039,15,0,0,0
2020-07,3호선,85,매봉,9,1688,6035,15569,17889,13101,10178,10372,10718,12083,13955,16014,18980,33082,68197,24293,15313,16275,10681,3014,7,0,0,0
2020-07,3호선,86,도곡,29,1042,3723,9275,11409,7057,5123,5523,6477,7126,7200,8742,11413,16157,18998,9995,6330,5749,4264,1138,6,0,0,0
2020-07,3호선,87,대치,10,2712,11380,26794,23988,14137,10628,10962,13266,13939,13569,16329,17147,24511,27857,17901,13415,14877,29472,3248,0,0,0,0
2020-07,3호선,88,학여울,5,468,1638,3972,4045,2707,2166,2355,2916,2886,3178,4022,4691,6182,7476,3198,2022,2009,1461,257,0,0,1,0
2020-07,3호선,89,대청,32,3815,10750,28140,32168,16820,13675,12592,12299,12863,13544,18293,17007,22329,26108,12748,7711,6657,4807,1378,0,0,0,0
2020-07,3호선,90,일원,1,2023,8354,23586,22240,14689,14162,15156,15119,13447,14714,18584,22911,31925,16901,8968,6247,4455,3365,911,0,0,0,0
2020-07,3호선,91,수서,246,4557,12977,35394,42640,27838,26700,21879,25095,24508,20359,28465,32020,39321,53698,24453,21967,15225,14186,4424,1,0,0,0
2020-07,3호선,92,가락시장,8,2554,7404,21392,23443,15385,13039,12970,12700,13061,13259,14102,15320,18875,32152,13263,9673,9034,6880,1941,8,0,0,0
2020-07,3호선,93,경찰병원,8,2638,7422,22878,27030,15448,11004,9604,9432,10293,9995,10354,10533,16195,22268,7408,5772,6108,3674,908,1,0,0,0
2020-07,3호선,94,오금,9,3309,8111,27108,31215,14818,8515,7793,8014,8056,6427,6193,7503,10113,13180,5253,3830,3387,2419,568,0,0,0,0
2020-07,4호선,100,수유(강북구청),142,21061,45891,119832,131798,77142,51280,46497,47668,47678,44636,44719,47128,52966,62669,38019,29024,26410,23286,10558,6,0,0,0
2020-07,4호선,101,미아(서울사이버대학),53,10783,20838,51989,58149,33915,23881,21614,22444,21353,21443,22546,22410,24578,28248,17406,12096,9427,7176,2786,2,0,0,0
2020-07,4호선,102,미아사거리,29,14992,38627,101765,111091,61706,40137,36839,38165,38814,37428,39427,44869,43888,45660,33863,33353,20746,16693,7332,3,1,0,0
2020-07,4호선,103,길음,17,9654,30709,87540,90963,46049,29572,24803,25664,26186,23206,24000,26827,31533,30489,18331,14557,11054,11000,3508,2,0,0,0
2020-07,4호선,104,성신여대입구(돈암),45,5385,17832,47522,58549,35546,24644,24885,27704,28091,27825,30193,35671,39958,46368,29672,26901,28329,27005,10276,2,0,0,0
2020-07,4호선,105,한성대입구(삼선교),76,6793,12933,31761,39935,25057,18140,17245,19189,20056,18737,23106,28501,28319,32431,17257,13661,13004,11139,4217,2,0,0,0
2020-07,4호선,106,혜화,51,3702,7450,17698,21266,23928,28962,32633,32858,34556,43276,55749,70371,94042,119092,62034,59241,76360,83257,25449,4,0,0,0
2020-07,4호선,107,동대문,276,6958,3639,5750,8145,12637,18480,25825,32225,36021,44698,52174,62019,93447,80249,33951,23040,24785,14338,6004,2,0,0,0
2020-07,4호선,108,동대문역사문화공원(DDP),319,8206,4582,6535,7563,7187,7742,11071,13846,15965,20519,25201,30493,50386,77784,39770,29052,28815,22508,8940,10,0,0,0
2020-07,4호선,109,충무로,106,3000,4129,8374,12541,12669,13369,17191,21465,26895,33292,36529,47631,85632,152104,68682,46480,45718,38035,16245,13,0,0,0
2020-07,4호선,110,명동,18,571,1865,3300,4829,6910,8833,12251,15653,20971,24846,31675,42179,58104,101760,49466,40159,38050,21701,5213,1,0,0,0
2020-07,4호선,111,회현(남대문시장),37,1806,3249,4622,7319,8512,12872,22030,29724,39306,46128,53377,70048,94119,123047,45881,42022,18521,11423,3565,2,2,0,0
2020-07,4호선,112,서울역,153,4359,5258,11728,15048,10558,8647,10285,10915,12261,11697,13865,16370,38933,71724,22950,13896,12946,9842,3543,3,0,0,0
2020-07,4호선,113,숙대입구(갈월),13,3055,7704,18187,26204,17210,13649,13745,15856,16770,16465,19734,25850,33216,52225,24079,17823,17581,15316,6787,0,0,0,0
2020-07,4호선,114,삼각지,4,557,2016,5345,7765,5034,3707,3798,4644,5245,5296,5822,7205,12906,25033,9501,6794,6686,5288,2280,3,0,0,0
2020-07,4호선,115,신용산,6,1164,4172,10655,15285,11592,9417,12170,13320,15686,16650,21142,27487,51751,97727,41057,26835,24136,17172,6172,0,0,0,0
2020-07,4호선,116,이촌(국립중앙박물관),41,1151,4657,13325,17373,11063,8023,8358,9518,9751,9774,11564,16036,19253,23212,10422,7394,8127,5140,1916,5,0,0,0
2020-07,4호선,117,동작(현충원),32,570,1605,5413,6377,4233,3420,3493,3290,3437,3396,4186,4612,6554,7770,4171,3909,3863,2963,1027,9,0,0,0
2020-07,4호선,118,총신대입구(이수),103,6705,17184,48738,63683,36334,25404,24905,26678,26255,26887,27285,31263,36027,46837,27112,24065,22291,19415,8051,29,0,0,0
2020-07,4호선,119,사당,74,10847,24970,69966,91216,62908,38081,31578,32956,34292,31877,30907,33390,41862,48650,32764,27869,32777,31487,12776,19,0,0,0
2020-07,4호선,120,남태령,32,395,1058,2472,3031,2434,1698,1898,1774,1700,1899,1650,2411,3435,3463,1513,1085,552,348,124,1,0,0,0
2020-07,4호선,95,당고개,48,8407,19124,57024,52299,28863,20428,17260,17668,17945,16606,15887,16557,18705,17760,12794,8139,6641,4949,1403,4,0,0,0
2020-07,4호선,96,상계,50,13141,37680,95007,81430,41375,28311,25672,26454,25000,22857,23166,24984,24408,25039,15888,11793,10762,12246,3203,7,0,0,0
2020-07,4호선,97,노원,169,11903,26143,57622,57358,32759,24931,23965,25807,26883,26107,27045,31405,33451,36203,26018,27635,25489,26165,9660,35,0,0,0
2020-07,4호선,98,창동,1817,17244,39748,101669,85439,52261,38267,35738,36966,36771,35101,38783,45328,49755,50391,29993,22982,20641,17694,7469,363,0,0,0
2020-07,4호선,99,쌍문,87,22999,54772,132088,138634,76553,49195,41458,40032,37748,33706,32922,35290,37471,38059,24449,17723,14855,11707,4902,5,0,0,0
2020-07,경부선,121,서울역,3,43,46,6911,15223,9066,7805,9091,9421,8307,5209,10003,11217,12465,13489,12519,7984,8714,6731,2779,14,1,0,0
2020-07,경부선,122,남영,124,2846,4690,12676,17333,10993,9409,9096,10628,11207,11616,15331,17414,25095,49856,18873,13206,12643,10427,4401,12,0,0,0
2020-07,경부선,123,용산,368,4212,5109,19828,27835,28409,23769,35458,35839,44444,43941,63256,70773,103800,149873,85759,72151,71705,45550,16679,523,0,0,0
2020-07,경부선,124,노량진,445,5226,6884,18248,23533,13152,9472,9679,11111,13939,11830,11687,14164,18297,24105,14474,13739,16924,18431,6428,85,0,0,0
2020-07,경부선,125,대방,538,5546,11639,31436,40569,21753,15531,14495,14890,15396,14734,16626,18965,32514,50255,19084,13130,13171,10158,2873,28,0,0,0
2020-07,경부선,126,영등포,4709,17862,17092,39524,55530,38574,31059,37577,44325,49458,55487,65424,77390,99549,151830,88412,92597,77639,63040,25115,169,0,0,0
2020-07,경부선,127,신도림,628,2289,3818,10667,13234,6355,4203,3889,4219,4190,4131,4473,5312,9063,15539,6454,4942,4924,3455,1596,21,0,0,0
2020-07,경부선,151,신길,909,11253,10605,24208,32041,18127,10826,9682,10035,10445,9244,10870,14041,18005,32823,13161,7778,7489,5565,2166,16,0,0,0
2020-07,경부선,249,구로,11610,23211,19713,37979,38909,24569,19066,17876,18960,19414,19592,21839,28153,47113,67726,28247,17633,15703,12480,5443,52,0,0,0
2020-07,경부선,250,가산디지털단지,1202,8401,7141,14295,13900,9528,8711,9621,11452,12469,12781,15251,22189,60016,122135,48230,29276,25012,16953,6448,111,0,0,0
2020-07,경부선,251,금천구청,733,11564,18562,47938,43714,23096,15387,13525,13742,12853,11828,12302,13518,16243,25748,12018,9013,7528,6003,2123,49,0,0,0
2020-07,경부선,252,석수,499,7987,17459,40923,41245,21186,13105,11497,12024,11264,10703,12565,14696,18647,20567,11404,7502,6299,4435,1792,53,0,0,0
2020-07,경부선,253,관악,196,7599,12585,34417,31216,15055,9564,8381,9108,8870,8465,8897,11102,12290,11350,6974,5338,4829,2852,1053,64,0,0,0
2020-07,경부선,254,안양,366,14897,32539,81947,71663,38029,26255,25516,28555,28292,27120,30100,35963,40359,38294,25081,22775,24970,20518,8690,457,2,0,0
2020-07,경부선,255,명학,195,7030,10191,25891,22295,11241,7870,7838,8816,8916,8261,9488,12621,22911,39195,11994,11579,8911,5025,1769,67,0,0,0
2020-07,경부선,256,금정,377,22783,35373,83107,83604,44607,28793,26994,28371,26899,24747,26257,32987,57047,74389,33558,26502,22883,18114,7664,562,1,0,0
2020-07,경부선,257,군포,120,5566,9109,18588,17530,9024,6538,6362,6693,6331,6116,6281,8349,19424,36086,12280,9850,6245,3874,1446,94,0,0,0
2020-07,경부선,258,의왕,157,6457,12773,30810,29797,12119,9520,9240,9474,9901,8751,9367,11965,25154,23869,11206,8775,6805,4425,1940,109,0,0,0
2020-07,경부선,259,성균관대,127,8718,27923,65752,52489,22860,17144,15129,16632,15944,14771,15763,18457,23252,24245,13502,11643,11078,9802,4388,256,1,0,0
2020-07,경부선,260,화서,398,6891,19966,39545,27839,11637,8794,8152,7784,7680,6633,7356,9577,11018,9502,5566,4679,4069,3242,984,76,0,0,0
2020-07,경부선,261,수원,2415,21216,36002,75200,66364,40128,36064,40097,44081,46149,47551,56332,71635,81443,95886,72883,74697,59366,52178,20315,573,0,0,0
2020-07,경부선,262,독산,624,7326,16723,39833,38020,19442,14664,13727,15686,15328,14344,16059,23229,48323,74922,33422,18001,14126,9186,2764,77,0,0,0
2020-07,경부선,263,세류,431,3213,7511,14592,9316,4758,3793,3750,3465,3377,3087,3675,4351,5747,5703,3516,2920,2430,1436,483,14,0,0,0
2020-07,경부선,264,병점,2885,7634,23389,48386,35277,20734,17161,17472,18186,16558,15852,19308,21910,30115,33673,17495,12747,11467,8206,2556,24,0,0,0
2020-07,경부선,265,세마,272,2108,5083,8897,6928,5256,3397,3230,3100,3529,2977,3044,4027,4816,6000,2677,1825,2014,887,433,36,0,0,0
2020-07,경부선,266,오산대,183,2250,5384,9572,6248,4484,3502,3251,3620,4007,3606,4048,5254,6045,7686,3817,3197,2894,1927,1023,77,0,0,0
2020-07,경부선,267,오산,426,5868,14451,20276,18967,14060,12569,13046,14052,12647,12944,13505,16327,23328,24806,14600,12220,9113,5770,2111,73,0,0,0
2020-07,경부선,268,진위,6,707,1526,2646,2432,1612,1324,1289,1736,1389,1468,1946,2646,5805,8024,2875,1873,1346,692,197,6,0,0,0
2020-07,경부선,269,송탄,110,6467,7660,12790,9071,7062,5965,6360,6414,6363,5363,6208,7602,8192,9293,5575,4277,3648,2214,858,62,0,0,0
2020-07,경부선,270,서정리,73,3062,8112,11818,10536,7696,7789,8319,9672,8742,9452,10230,12780,19236,18160,9851,7318,4902,2876,886,20,0,0,0
2020-07,경부선,271,지제,21,859,2557,6117,4427,2792,2399,2408,3445,2269,2908,4143,4909,8475,8017,4914,2948,3231,2428,711,0,0,0,0
2020-07,경부선,272,평택,217,7289,14446,25600,21645,17684,16478,16007,17062,17530,17568,19069,24298,28637,27851,20234,19212,14109,10537,5097,44,0,0,0
2020-07,경부선,273,성환,32,1939,2938,6017,5612,4708,4508,4777,4763,6061,5439,6083,7172,12067,9217,4584,4195,2457,1402,680,47,0,0,0
2020-07,경부선,274,직산,94,522,1286,1756,1108,1158,942,862,1001,989,889,1116,1072,2419,2767,952,805,569,365,156,12,0,0,0
2020-07,경부선,275,두정,1088,3952,8281,12670,9993,6686,6397,6180,6066,6505,6581,6889,7665,10216,10104,6137,5316,4488,3745,1988,24,0,0,0
2020-07,경부선,276,천안,1421,2657,5088,9017,7707,8079,7882,9416,8217,9346,10213,10988,11700,11925,11909,8603,6547,5744,3257,1400,9,0,0,0
2020-07,경부선,277,당정,15,3649,11285,26355,21955,10483,7322,7167,7153,7252,6097,7197,7966,10680,15703,6482,5091,3789,3058,1258,97,0,0,0
2020-07,경부선,278,서동탄,0,1354,4989,11444,4221,2122,1736,1689,1649,1497,1437,1843,1913,2316,2693,1220,932,707,530,126,7,0,0,0
2020-07,경부선,279,광명,0,14,2957,13501,10677,5776,1056,3802,4605,3341,3131,3538,9872,1817,7645,7441,1457,4624,1805,420,1,0,0,0
2020-07,경인선,293,개봉,1323,19024,37471,95057,87491,49062,32313,28701,29598,27549,24459,23628,27407,30876,31253,18741,14770,12507,8929,4156,165,0,0,0
2020-07,경인선,294,오류동,756,12493,18999,52686,50986,26082,17493,15483,17117,15330,13223,12774,14446,15784,15605,9039,7197,6235,5111,1893,147,0,0,0
2020-07,경인선,295,역곡,1153,27331,46643,127643,120783,59988,37361,33088,33798,32599,27936,27733,30643,34242,34737,22028,18509,16448,14148,6083,478,0,0,0
2020-07,경인선,296,부천,2866,35334,43005,110754,110135,57968,42200,42784,44064,45377,42161,45651,52083,56254,59801,40806,34950,35314,30955,14650,1177,0,0,0
2020-07,경인선,297,송내,1449,16492,40531,116898,94624,46886,33630,32911,35244,31562,29307,30628,37258,46819,78625,33563,24404,20890,18180,8069,1100,0,0,0
2020-07,경인선,298,부평,7686,22650,37518,88705,80857,42750,35593,35618,39254,40063,40391,43507,51329,58568,56745,42592,42340,43764,39835,20179,3546,0,0,0
2020-07,경인선,299,백운,150,7824,14502,30505,27783,14427,11109,10588,10299,9388,8736,8332,9330,10952,11138,5860,4864,3949,2728,1340,149,0,0,0
2020-07,경인선,300,동암,797,20608,30473,59137,54152,30532,21871,20456,20889,20095,18204,17767,21989,25330,24694,15842,12363,11642,8361,4347,404,0,0,0
2020-07,경인선,301,주안,1223,14340,26309,69037,55678,32284,24339,25277,27594,26977,24656,26081,29660,39147,40483,24138,19608,19079,15429,7650,749,0,0,0
